chr	start	end	het_ratio	het_length
chr10_MATERNAL	34637437	34637639	11.8	202
chr10_MATERNAL	34640248	34642679	11.8	2431
chr10_MATERNAL	34643544	34644018	10	474
chr10_MATERNAL	34865223	34866297	10.7	1074
chr10_MATERNAL	35737168	35737663	12	495
chr10_MATERNAL	35897132	35898965	10	1833
chr10_MATERNAL	35912450	35912886	10	436
chr10_MATERNAL	36757624	36758216	10.7	592
chr10_MATERNAL	36760896	36762953	11.1	2057
chr10_MATERNAL	36765032	36765927	10.7	895
chr10_MATERNAL	36771225	36773536	10.7	2311
chr10_MATERNAL	36774410	36775407	10.3	997
chr10_MATERNAL	36776086	36776326	10	240
chr10_MATERNAL	36777057	36778117	10.3	1060
chr10_MATERNAL	36780088	36782043	10	1955
chr10_MATERNAL	38387022	38388421	10.7	1399
chr10_MATERNAL	38577917	38583190	10	5273
chr10_MATERNAL	38587248	38588651	13.3	1403
chr10_MATERNAL	38588651	38591417	10	2766
chr10_MATERNAL	38593888	38596017	10.7	2129
chr10_MATERNAL	38598086	38599756	10.7	1670
chr10_MATERNAL	38600345	38602656	10.7	2311
chr10_MATERNAL	38604724	38605023	11.1	299
chr10_MATERNAL	38606214	38607692	10	1478
chr10_MATERNAL	38611623	38613342	10.3	1719
chr10_MATERNAL	38615186	38616013	10	827
chr10_MATERNAL	38617056	38617195	26.7	139
chr10_MATERNAL	38618126	38618761	10	635
chr10_MATERNAL	38621257	38624058	10.7	2801
chr10_MATERNAL	38625153	38627739	10.3	2586
chr10_MATERNAL	38628529	38632833	17.2	4304
chr10_MATERNAL	38634023	38637312	10.3	3289
chr10_MATERNAL	38637960	38638676	10.3	716
chr10_MATERNAL	38641233	38641844	12.5	611
chr10_MATERNAL	38644287	38644669	12.5	382
chr10_MATERNAL	38648095	38648642	12	547
chr10_MATERNAL	38652317	38653108	11.5	791
chr10_MATERNAL	38655151	38656694	12	1543
chr10_MATERNAL	38658343	38659763	12	1420
chr10_MATERNAL	38661837	38662917	11.1	1080
chr10_MATERNAL	38664413	38665163	14.8	750
chr10_MATERNAL	38672110	38672621	14.3	511
chr10_MATERNAL	38679143	38679814	12.5	671
chr10_MATERNAL	38695987	38698330	15.4	2343
chr10_MATERNAL	38703262	38704095	11.1	833
chr10_MATERNAL	38704724	38705982	10.7	1258
chr10_MATERNAL	38726793	38727497	10.3	704
chr10_MATERNAL	38858057	38858921	10	864
chr10_MATERNAL	38887323	38888692	10	1369
chr10_MATERNAL	38889853	38892052	10.5	2199
chr10_MATERNAL	38892777	38893405	10.5	628
chr10_MATERNAL	38899826	38900748	11.1	922
chr10_MATERNAL	38910023	38910567	11.1	544
chr10_MATERNAL	38911202	38963742	10	52540
chr10_MATERNAL	38964610	38965720	13	1110
chr10_MATERNAL	38966457	38970090	13.6	3633
chr10_MATERNAL	38978151	38978669	17.4	518
chr10_MATERNAL	38995663	38996519	12.5	856
chr10_MATERNAL	39012922	39013503	13	581
chr10_MATERNAL	39027738	39029259	11.1	1521
chr10_MATERNAL	39036414	39038601	12	2187
chr10_MATERNAL	39042721	39043639	12.5	918
chr10_MATERNAL	39053858	39054436	13	578
